,Topic_model,Similarity
0,Topic--1,0.25
1,Topic-0,1.0
2,Topic-1,0.1111111111111111
3,Topic-2,0.1111111111111111
4,Topic-3,0.1111111111111111
5,Topic-4,0.1111111111111111
6,Topic-5,0.1111111111111111
7,Topic-6,0.1111111111111111
8,Topic-7,0.16666666666666666
9,Topic-8,0.1111111111111111
10,Topic-9,0.1111111111111111
11,Topic-10,0.1111111111111111
12,Topic-11,0.1111111111111111
13,Topic-12,0.25
14,Topic-13,0.0
15,Topic-14,0.0
16,Topic-17,0.0
17,Topic-16,0.1111111111111111
18,Topic-15,0.0
19,Topic-18,0.1111111111111111
20,Topic-19,0.1111111111111111
21,Topic-20,0.1111111111111111
22,Topic-21,0.1111111111111111
23,Topic-22,0.1111111111111111
24,Topic-24,0.0
25,Topic-25,0.0
26,Topic-23,0.0
27,Topic-26,0.1111111111111111
28,Topic-27,0.1111111111111111
29,Topic-28,0.1111111111111111
30,Topic-29,0.0
31,Topic-30,0.0
32,Topic-31,0.0
33,Topic-32,0.0
34,Topic-33,0.0
