,Topic,Count,Name,Topic,Count,Name
0,-1.0,681.0,-1_ye_peopl_amber_johnni,-1,640,-1_lie_amber_johnni_abus
1,0.0,287.0,0_http_tco_oedcblwrgi_oguymnf,0,319,0_http_tco_oedcblwrgi_oguymnf
2,1.0,121.0,1_court_trial_uk_juri,1,123,1_stage_donat_guy_juri
3,2.0,119.0,2____,2,114,2_women_men_abus_woman
4,3.0,83.0,3_amber_turd_amberturd_pledg,3,67,3_ye_yay_lol_ha
5,4.0,76.0,4_women_men_abus_woman,4,56,4_money_owe_afford_pay
6,5.0,56.0,5_depp_johnni_win_congratul,5,51,5_amber_turd_gonna_light
7,6.0,47.0,6_celebr_ki_raha_ba,6,42,6_simp_aint_eactli_adup
8,7.0,45.0,7_tweet_disturb_twitter_bot,7,40,7_dont_peopl_acknowledg_bias
9,8.0,43.0,8_million_mil_virginia_mill,9,37,9_victim_domest_violenc_dv
10,9.0,39.0,9_stfu_let_fuck_wtf,8,37,8_truth_never_prevail_alway
11,10.0,33.0,10_johnni_go_team_well,10,35,10_jack_sparrow_captain_almost
12,11.0,31.0,11_jack_sparrow_captain_almost,11,33,11_cri_disturb_care_spot
13,12.0,30.0,12_lie_prove_your_dont,12,29,12_depp_john_johnni_win
14,13.0,30.0,13_justic_serv_glad_system,13,28,13_million_mil_agre_cap
15,14.0,29.0,14_yay_yeh_yesssss_ye,14,27,14_fuck_dune_stupid_comment
16,15.0,26.0,15_brilliant_good_great_nice,15,27,15_trial_watch_juri_feel
17,16.0,25.0,16_johnnydepp_justiceforjohhnydepp_men_womennnw,16,25,16_tweet_twitter_screenshot_dark
18,17.0,24.0,17_news_comment_best_day,17,25,17_johnni_go_happi_deep
19,18.0,22.0,18_victim_dv_your_dont,18,24,18_justic_serv_glad_prevail
20,19.0,21.0,19_final_winner_last_var,19,23,19_depp_heard_amber_johnni
21,20.0,21.0,20_heard_amber_bed_suck,21,23,21_uk_judg_rule_american
22,21.0,20.0,21_mentoo_metoo_metoogamechang_correctionnmentoo,20,23,20_heard_amber_bed_suck
23,22.0,20.0,22_truth_alway_truthwin_prevail,22,22,22_hunger_bot_poverti_account
24,23.0,20.0,23_cri_ha_harder_kiddo,23,22,23_final_last_victori_disord
25,25.0,19.0,25_eactli_ecel_era_epens,24,18,24_justiceforjohhnydepp_justiceforjohnnydepp_johnnydepp_final
26,24.0,19.0,24_depp_johnni_heard_lawsuit,25,18,25_team_congratul_congrat_teamjohnnydepp
27,26.0,18.0,26_money_afford_pay_owe,26,17,26_mega_pint_drink_wine
28,27.0,16.0,27_disney_apolog_compani_warner,27,17,27_news_good_sky_best
29,28.0,16.0,28_yeah_ya_ye_true,30,16,30_mill_mil_virginia_cap
30,29.0,15.0,29_damag_punit_limit_award,28,16,28_good_nice_well_goodnew
31,30.0,15.0,30_justiceforjohnnydepp_justiceforjohhnydepp_toicfeminin_mentoonit,29,16,29_mentoo_metoo_buri_soo
32,31.0,13.0,31_pint_mega_aris_wine,31,15,31_time_aris_sun_sue
33,32.0,12.0,32_happi_im_trillion_lay,32,15,32_pirat_caribbean_until_drop
34,33.0,10.0,33_sun_christ_time_back,33,14,33_brilliant_great_fantast_toon
35,,,,34,13,34_pay_attent_tattoo_duti
36,,,,35,12,35_she_freeli_shag_damn
37,,,,36,12,36_punit_damag_award_juri
38,,,,37,11,37_harder_crawl_fade_brick
