,id,Name,Gender,Account created at,Bio-cluster,Tweet cluster,Sentiment,Verification Status,Followers Network Metrics,Number of Followers,Friends Network-metrics,Total Tweet activity,Retweet count,Activity status,Media attachments,Source of tweet,Location
0,1526856091492962304,IDU-22,M,2021,cluster0,Topic3,Positive,False,Not Influential,1,18,49,0,Not that active,No Media Attached,Twitter for Android,
1,1526848202565160961,Darren Waring,F,2021,cluster0,Topic3,negative,False,Not Influential,0,2,3,0,Not that active,No Media Attached,Twitter for Android,
2,1526830102398791680,Ahmarel Kyoshin,Unknown,2010,cluster0,Topic3,Neutral,False,Not Influential,123,126,6265,0,Highly active,No Media Attached,Twitter for Android,
3,1526827027067596802,LogicalInd,Unknown,2021,cluster0,Topic3,Positive,False,Not Influential,0,26,145,0,Highly active,No Media Attached,Twitter for Android,
4,1526825932215812097,Abdus Samad,M,2021,cluster0,Topic3,Neutral,False,Not Influential,16,109,2707,0,Highly active,No Media Attached,Twitter for Android,"Gurgaon, India"
5,1526824465757540352,MobeenRaza_Official,Unknown,2019,cluster0,Topic3,Positive,False,Not Influential,414,985,6877,0,Highly active,No Media Attached,Twitter for Android,Gunnergaon 
6,1526818781800312832,GeminiAUs,F,2013,cluster0,Topic3,Positive,False,Not Influential,61,284,1708,0,Highly active,No Media Attached,Twitter Web App,Australia
7,1526817505653956608,Ryzal Shah,F,2022,cluster3,Topic3,Neutral,False,Not Influential,2,146,15,0,Not that active,No Media Attached,Twitter for iPhone,
8,1526814615618846721,James jones,F,2019,cluster0,Topic4,Neutral,False,Not Influential,21,75,1556,0,Highly active,No Media Attached,Twitter for iPhone,
9,1526813768658714624,Abrar Ahmad Khan,M,2011,cluster0,Topic3,Neutral,False,Not Influential,12,53,28,0,Not that active,No Media Attached,Twitter for Android,Khanapur
10,1526800905051508736,Celestial Sojourner,F,2011,cluster0,Topic3,Positive,False,Influential,58483,55337,81030,0,Highly active,No Media Attached,Twitter Web App,FL Cong Dist 8 Traitor Posey
11,1526799526429921280,jazib ali,N,2021,cluster0,Topic3,negative,False,Not Influential,1,188,131,0,Highly active,No Media Attached,Twitter for Android,
12,1526783982733770753,Yuganshi,Unknown,2021,cluster0,Topic3,Neutral,False,Not Influential,570,485,6870,0,Highly active,No Media Attached,Twitter for Android,
13,1526778877988720640,Irka,Unknown,2021,cluster0,Topic3,Neutral,False,Not Influential,390,155,23874,0,Highly active,No Media Attached,Twitter for iPad,New York
14,1526776182917672960,Michael Baker,F,2020,cluster0,Topic3,Positive,False,Not Influential,1558,2443,26895,0,Highly active,No Media Attached,Twitter Web App,
15,1526769000918798336,José Josefovič Důchodovič 🦁🇪🇦💣🇲🇦🪖🇷🇺⚔️,M,2022,cluster0,Topic3,Neutral,False,Not Influential,25,22,1220,0,Highly active,No Media Attached,Twitter for Android,
16,1526767286803214336,Raw Accel user,F,2022,cluster0,Topic3,Neutral,False,Not Influential,0,35,4,0,Not that active,No Media Attached,Twitter for Android,
17,1526767244533198848,Nithin Markwyn Dsouza,M,2020,cluster5,Topic3,Neutral,False,Not Influential,127,414,5488,0,Highly active,No Media Attached,Twitter for Android,Mangalore
18,1526760388725035008,Michelle,F,2022,cluster0,Topic3,Neutral,False,Not Influential,31,87,1151,0,Highly active,No Media Attached,Twitter for Android,Canada
19,1526757225444028416,RAJ,F,2012,cluster0,Topic2,Neutral,False,Not Influential,249,188,1156,1,Highly active,No Media Attached,Twitter for iPhone,"New Delhi, India"
20,1526756930424713216,J.D,F,2012,cluster0,Topic3,negative,False,Not Influential,708,559,20248,0,Highly active,No Media Attached,Twitter for iPhone,
21,1526755531980820480,sious,N,2017,cluster0,Topic3,Neutral,False,Not Influential,32,144,2782,0,Highly active,No Media Attached,Twitter Web App,
22,1526755515849752577,Lio,F,2021,cluster0,Topic3,Neutral,False,Not Influential,11,90,548,0,Highly active,No Media Attached,Twitter for Android,"Dublin City, Ireland"
23,1526740230119858177,BasiaR,M,2021,cluster0,Topic3,Neutral,False,Not Influential,197,461,3603,0,Highly active,No Media Attached,Twitter for iPhone,
24,1526736892167090177,tanzne,Unknown,2016,cluster0,Topic3,Positive,False,Not Influential,7,171,840,0,Highly active,No Media Attached,Twitter for iPhone,home
25,1526735376706154496,MacRuairidh 🇨🇦 🍁 🇺🇦,Unknown,2009,cluster0,Topic0,Neutral,False,Not Influential,435,1250,45135,0,Highly active,No Media Attached,Twitter for Android,"St. John's, Newfoundland and L"
26,1526725353301069828,Lynn Nancy,F,2021,cluster0,Topic3,Neutral,False,Not Influential,110,58,11173,0,Highly active,No Media Attached,Twitter for iPhone,Ruthven Ont. 
27,1526724192242401281,Now Resisting from Australia!,F,2015,cluster0,Topic3,Neutral,False,Influential,16005,17292,193827,0,Highly active,No Media Attached,Twitter Web App,"Brisbane, Australia "
28,1526722803487379456,Michael Cook,F,2008,cluster0,Topic3,Neutral,False,Not Influential,66,144,3703,0,Highly active,No Media Attached,Twitter for Android,"Mudgee, New South Wales"
29,1526719105159544832,Tyrone,M,2020,cluster0,Topic2,Positive,False,Not Influential,133,238,6252,0,Highly active,No Media Attached,Twitter for Android,
30,1526718025696673793,Ty Landry,F,2020,cluster0,Topic3,Neutral,False,Not Influential,424,433,7415,0,Highly active,No Media Attached,Twitter for Android,
31,1526716554733408257,CGABR,Unknown,2011,cluster0,Topic3,Positive,False,Not Influential,83,705,3950,0,Highly active,No Media Attached,Twitter for iPhone,
32,1526715980688285696,zepherus_omega,Unknown,2012,cluster4,Topic0,Neutral,False,Not Influential,320,711,1414,0,Highly active,No Media Attached,Twitter for Android,"Oklahoma City, OK"
33,1526714914064179201,B-Co Ag 2012,Unknown,2009,cluster1,Topic3,Positive,False,Not Influential,71,340,2124,0,Highly active,No Media Attached,Twitter for iPhone,
34,1526714567174258702,Louie,F,2022,cluster0,Topic4,negative,False,Not Influential,10,13,70,0,Highly active,No Media Attached,Twitter for Android,
35,1526709915510775810,Tammy,F,2011,cluster0,Topic5,Neutral,False,Not Influential,512,927,8408,0,Highly active,No Media Attached,Twitter for iPhone,
36,1526706073310220289,David Cox,M,2021,cluster0,Topic4,Positive,False,Not Influential,2,142,25,0,Not that active,No Media Attached,Twitter for Android,
37,1526704864834748417,Dr T CritThink | Human values | Phil. & Com. Sense,M,2020,cluster0,Topic3,Positive,False,Not Influential,9920,9731,28091,0,Highly active,No Media Attached,Twitter Web App,DC Metro Area (DMV)
38,1526702976433278984,Peter Pyper,M,2012,cluster3,Topic4,Neutral,False,Not Influential,71,327,3665,0,Highly active,No Media Attached,Twitter for Android,
39,1526701580623351808,John Nastasi,F,2022,cluster0,Topic3,Positive,False,Not Influential,1,10,39,0,Not that active,No Media Attached,Twitter for Android,"angels camp,Ca."
